time,hostname,FINGERPRINT,IP,MAC
2025-11-07T23:13:18.782081,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:13:26.652619,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:14:30.371189,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:14:55.959296,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:19:59.420420,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:20:17.878150,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:20:30.258500,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:25:19.896657,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:26:09.902811,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
2025-11-07T23:33:52.981204,423A9BA3DE16BEA,5d97293f3eb680334c1e269e7557d2f20989354ff66eaf1d2c2b87c63aef615b,192.168.2.16,42:3a:9b:a3:de:16
